,year,month,day,dotw,start_hour,start_minute,end_hour,end_minute,event,value,units,caregiver
183,2019,9,23,Monday,11,15,NA,NA,bottle,4.5,oz,vona
184,2019,9,23,Monday,13,15,NA,NA,bottle,2,oz,vona
185,2019,9,23,Monday,11,17,11,32,nap,,,vona
186,2019,9,23,Monday,6,45,NA,NA,arrive,,,NA
187,2019,9,20,Friday,7,15,NA,NA,wet,,,vona
188,2019,9,20,Friday,9,0,NA,NA,wet,,,vona
189,2019,9,20,Friday,11,0,NA,NA,wet,,,vona
190,2019,9,20,Friday,13,0,NA,NA,wet,,,vona
191,2019,9,20,Friday,14,17,NA,NA,wet,,,vona
192,2019,9,20,Friday,14,47,NA,NA,bowel,,,vona
193,2019,9,20,Friday,8,30,NA,NA,bottle,2.5,oz,vona
194,2019,9,20,Friday,11,30,NA,NA,bottle,1,oz,vona
195,2019,9,20,Friday,13,0,NA,NA,bottle,2,oz,vona
196,2019,9,20,Friday,15,0,NA,NA,bottle,2,oz,vona
197,2019,9,20,Friday,9,40,10,23,nap,,,vona
198,2019,9,20,Friday,13,21,14,14,nap,,,vona
199,2019,9,20,Friday,6,45,NA,NA,arrive,,,NA
200,2019,9,18,Wednesday,7,30,NA,NA,wet,,,ap
201,2019,9,18,Wednesday,9,24,NA,NA,bowel,,,ap
202,2019,9,18,Wednesday,11,10,NA,NA,wet,,,ap
203,2019,9,18,Wednesday,13,0,NA,NA,wet,,,ap
204,2019,9,18,Wednesday,13,10,NA,NA,bowel,,,ap
205,2019,9,18,Wednesday,15,0,NA,NA,dry,,,ap
206,2019,9,18,Wednesday,8,20,NA,NA,bottle,2,oz,ap
207,2019,9,18,Wednesday,10,30,NA,NA,bottle,1,oz,ap
208,2019,9,18,Wednesday,12,30,NA,NA,bottle,3,oz,ap
209,2019,9,18,Wednesday,14,30,NA,NA,bottle,1.5,oz,ap
210,2019,9,18,Wednesday,10,40,11,2,nap,,,ap
211,2019,9,18,Wednesday,14,35,14,45,nap,,,ap
212,2019,8,27,Tuesday,8,0,NA,NA,wet,,,jr
213,2019,8,27,Tuesday,10,0,NA,NA,bowel,,,jr
214,2019,8,27,Tuesday,10,35,NA,NA,bowel,,,jr
215,2019,8,27,Tuesday,12,40,NA,NA,wet,,,jr
216,2019,8,27,Tuesday,13,45,NA,NA,bowel,,,jr
217,2019,8,27,Tuesday,8,15,NA,NA,bottle,2,oz,jr
218,2019,8,27,Tuesday,9,0,NA,NA,bottle,3,oz,jr
219,2019,8,27,Tuesday,11,0,NA,NA,bottle,2,oz,jr
220,2019,8,27,Tuesday,13,5,NA,NA,bottle,1.5,oz,jr
221,2019,8,27,Tuesday,14,50,NA,NA,bottle,4,oz,jr
222,2019,8,27,Tuesday,11,10,12,40,nap,,,jr
223,2019,8,27,Tuesday,14,10,14,45,nap,,,jr
224,2019,8,26,Monday,7,10,NA,NA,wet,,,vona
225,2019,8,26,Monday,10,15,NA,NA,bowel,,,jr
226,2019,8,26,Monday,11,40,NA,NA,bowel,,,vona
227,2019,8,26,Monday,13,32,NA,NA,bowel,,,vona
228,2019,8,26,Monday,14,32,NA,NA,bowel,,,vona
229,2019,8,26,Monday,15,10,NA,NA,bowel,,,vona
230,2019,8,26,Monday,7,45,NA,NA,bottle,3,oz,vona
231,2019,8,26,Monday,10,48,NA,NA,bottle,2,oz,vona
232,2019,8,26,Monday,11,40,NA,NA,bottle,2,oz,vona
233,2019,8,26,Monday,14,13,NA,NA,bottle,5,oz,vona
234,2019,8,26,Monday,8,40,10,10,nap,,,vona
235,2019,8,26,Monday,12,45,13,20,nap,,,vona
236,2019,8,26,Monday,6,35,NA,NA,arrive,,,NA
237,2019,9,9,Monday,7,0,NA,NA,wet,,,vona
238,2019,9,9,Monday,8,21,NA,NA,bowel,,,vona
239,2019,9,9,Monday,10,25,NA,NA,wet,,,vona
240,2019,9,9,Monday,11,21,NA,NA,bowel,,,vona
241,2019,9,9,Monday,13,25,NA,NA,wet,,,vona
242,2019,9,9,Monday,15,15,NA,NA,wet,,,vona
243,2019,9,9,Monday,7,40,NA,NA,bottle,3,oz,vona
244,2019,9,9,Monday,10,48,NA,NA,bottle,3,oz,vona
245,2019,9,9,Monday,13,35,NA,NA,bottle,2,oz,vona
246,2019,9,9,Monday,8,46,9,43,nap,,,vona
247,2019,9,9,Monday,12,38,13,23,nap,,,vona
248,2019,9,9,Monday,6,43,NA,NA,arrive,,,NA
249,2019,8,30,Friday,6,45,NA,NA,arrive,,,NA
250,2019,8,30,Friday,7,10,NA,NA,wet,,,vona
251,2019,8,30,Friday,8,45,NA,NA,wet,,,vona
252,2019,8,30,Friday,9,9,NA,NA,bowel,,,vona
253,2019,8,30,Friday,11,35,NA,NA,wet,,,vona
254,2019,8,30,Friday,12,50,NA,NA,wet,,,vona
255,2019,8,30,Friday,14,16,NA,NA,bowel,,,vona
256,2019,8,30,Friday,15,20,NA,NA,wet,,,vona
257,2019,8,30,Friday,8,50,NA,NA,bottle,3,oz,vona
258,2019,8,30,Friday,12,55,NA,NA,bottle,3,oz,vona
259,2019,8,30,Friday,14,20,NA,NA,bottle,2,oz,vona
260,2019,8,30,Friday,15,0,NA,NA,bottle,2,oz,vona
261,2019,8,30,Friday,7,30,8,42,nap,,,vona
262,2019,8,30,Friday,10,21,11,34,nap,,,vona
263,2019,8,30,Friday,14,27,14,37,nap,,,vona
264,2019,9,11,Wednesday,7,0,NA,NA,arrive,,,NA
265,2019,9,11,Wednesday,7,10,NA,NA,wet,,,vona
266,2019,9,11,Wednesday,9,5,NA,NA,wet,,,vona
267,2019,9,11,Wednesday,9,37,NA,NA,bowel,,,vona
268,2019,9,11,Wednesday,11,0,NA,NA,bowel,,,vona
269,2019,9,11,Wednesday,13,0,NA,NA,wet,,,vona
270,2019,9,11,Wednesday,15,0,NA,NA,wet,,,vona
271,2019,9,11,Wednesday,8,45,NA,NA,bottle,3,oz,vona
272,2019,9,11,Wednesday,12,15,NA,NA,bottle,3,oz,vona
273,2019,9,11,Wednesday,12,40,NA,NA,bottle,2,oz,vona
274,2019,9,11,Wednesday,13,50,NA,NA,bottle,2,oz,vona
275,2019,9,11,Wednesday,9,49,10,36,nap,,,vona
276,2019,9,11,Wednesday,11,49,12,5,nap,,,vona
277,2019,9,11,Wednesday,14,16,14,45,nap,,,vona
278,2019,9,5,Thursday,6,40,NA,NA,arrive,,,NA
279,2019,9,5,Thursday,7,10,NA,NA,bowel,,,vona
280,2019,9,5,Thursday,9,20,NA,NA,wet,,,vona
281,2019,9,5,Thursday,11,15,NA,NA,wet,,,vona
282,2019,9,5,Thursday,12,42,NA,NA,bowel,,,vona
283,2019,9,5,Thursday,14,48,NA,NA,bowel,,,vona
284,2019,9,5,Thursday,9,20,NA,NA,bottle,3,oz,vona
285,2019,9,5,Thursday,11,42,NA,NA,bottle,3,oz,vona
286,2019,9,5,Thursday,15,0,NA,NA,bottle,2,oz,vona
287,2019,9,5,Thursday,8,0,9,19,nap,,,vona
288,2019,9,5,Thursday,12,15,12,33,nap,,,vona
289,2019,9,5,Thursday,12,55,14,17,nap,,,vona
290,2019,9,16,Monday,7,10,NA,NA,arrive,,,NA
291,2019,9,16,Monday,7,20,NA,NA,dry,,,vona
292,2019,9,16,Monday,7,55,NA,NA,wet,,,vona
293,2019,9,16,Monday,8,52,NA,NA,bowel,,,vona
294,2019,9,16,Monday,11,0,NA,NA,wet,,,vona
295,2019,9,16,Monday,12,58,NA,NA,wet,,,vona
296,2019,9,16,Monday,15,0,NA,NA,wet,,,vona
297,2019,9,16,Monday,9,35,NA,NA,bottle,2,oz,vona
298,2019,9,16,Monday,10,55,NA,NA,bottle,2,oz,vona
299,2019,9,16,Monday,13,0,NA,NA,bottle,2.5,oz,vona
300,2019,9,16,Monday,15,0,NA,NA,bottle,3,oz,vona
301,2019,9,16,Monday,12,15,12,53,nap,,,vona
302,2019,8,23,Friday,6,48,NA,NA,arrive,,,NA
303,2019,8,23,Friday,7,19,NA,NA,wet,,,vona
304,2019,8,23,Friday,9,40,NA,NA,wet,,,vona
305,2019,8,23,Friday,11,15,NA,NA,wet,,,vona
306,2019,8,23,Friday,13,0,NA,NA,wet,,,vona
307,2019,8,23,Friday,8,38,NA,NA,bottle,3.5,oz,vona
308,2019,8,23,Friday,10,30,NA,NA,bottle,2,oz,vona
309,2019,8,23,Friday,12,45,NA,NA,bottle,3,oz,vona
310,2019,8,23,Friday,8,55,9,36,nap,,,vona
311,2019,8,23,Friday,11,52,12,46,nap,,,vona
312,2019,9,13,Friday,6,37,NA,NA,arrive,,,NA
313,2019,9,13,Friday,6,55,NA,NA,wet,,,vona
314,2019,9,13,Friday,9,20,NA,NA,wet,,,vona
315,2019,9,13,Friday,11,0,NA,NA,bowel,,,vona
316,2019,9,13,Friday,12,47,NA,NA,bowel,,,vona
317,2019,9,13,Friday,14,17,NA,NA,bowel,,,vona
318,2019,9,13,Friday,15,46,NA,NA,bowel,,,vona
319,2019,9,13,Friday,8,10,NA,NA,bottle,2,oz,vona
320,2019,9,13,Friday,11,0,NA,NA,bottle,2.5,oz,vona
321,2019,9,13,Friday,13,0,NA,NA,bottle,2,oz,vona
322,2019,9,13,Friday,13,10,NA,NA,bottle,2,oz,vona
323,2019,9,13,Friday,8,22,9,17,nap,,,vona
324,2019,9,13,Friday,11,45,12,15,nap,,,vona
325,2019,9,12,Thursday,6,40,NA,NA,arrive,,,NA
326,2019,9,12,Thursday,6,50,NA,NA,bowel,,,vona
327,2019,9,12,Thursday,8,45,NA,NA,wet,,,vona
328,2019,9,12,Thursday,10,45,NA,NA,wet,,,vona
329,2019,9,12,Thursday,13,12,NA,NA,wet,,,vona
330,2019,9,12,Thursday,13,38,NA,NA,bowel,,,vona
331,2019,9,12,Thursday,14,18,NA,NA,bowel,,,vona
332,2019,9,12,Thursday,15,15,NA,NA,wet,,,vona
333,2019,9,12,Thursday,8,50,NA,NA,bottle,3.5,oz,vona
334,2019,9,12,Thursday,12,0,NA,NA,bottle,1,oz,vona
335,2019,9,12,Thursday,13,15,NA,NA,bottle,2.5,oz,vona
336,2019,9,12,Thursday,9,8,9,46,nap,,,vona
337,2019,9,12,Thursday,12,7,13,5,nap,,,vona
338,2019,9,4,Wednesday,6,55,NA,NA,arrive,,,NA
339,2019,9,4,Wednesday,7,0,NA,NA,wet,,,vona
340,2019,9,4,Wednesday,7,52,NA,NA,bowel,,,vona
341,2019,9,4,Wednesday,9,45,NA,NA,wet,,,vona
342,2019,9,4,Wednesday,10,35,NA,NA,bowel,,,vona
343,2019,9,4,Wednesday,13,0,NA,NA,wet,,,vona
344,2019,9,4,Wednesday,13,35,NA,NA,bowel,,,vona
345,2019,9,4,Wednesday,14,55,NA,NA,bowel,,,vona
346,2019,9,4,Wednesday,9,33,NA,NA,bottle,3.5,oz,vona
347,2019,9,4,Wednesday,13,0,NA,NA,bottle,3,oz,vona
348,2019,9,4,Wednesday,8,4,9,19,nap,,,vona
349,2019,9,4,Wednesday,11,7,12,56,nap,,,vona
350,2019,9,10,Tuesday,6,45,NA,NA,dry,,,ap
351,2019,9,10,Tuesday,8,10,NA,NA,wet,,,ap
352,2019,9,10,Tuesday,9,45,NA,NA,wet,,,ap
353,2019,9,10,Tuesday,11,15,NA,NA,bowel,,,ap
354,2019,9,10,Tuesday,12,45,NA,NA,bowel,,,ap
355,2019,9,10,Tuesday,14,15,NA,NA,bowel,,,ap
356,2019,9,10,Tuesday,8,0,NA,NA,bottle,2,oz,ap
357,2019,9,10,Tuesday,10,30,NA,NA,bottle,3,oz,ap
358,2019,9,10,Tuesday,13,15,NA,NA,bottle,3.5,oz,ap
359,2019,9,10,Tuesday,9,0,9,40,nap,,,ap
360,2019,9,10,Tuesday,12,0,12,35,nap,,,ap
361,2019,9,6,Friday,6,40,NA,NA,arrive,,,NA
362,2019,9,6,Friday,7,5,NA,NA,wet,,,vona
363,2019,9,6,Friday,9,35,NA,NA,wet,,,vona
364,2019,9,6,Friday,9,59,NA,NA,bowel,,,vona
365,2019,9,6,Friday,11,25,NA,NA,bowel,,,ap
366,2019,9,6,Friday,12,57,NA,NA,bowel,,,vona
367,2019,9,6,Friday,15,0,NA,NA,wet,,,vona
368,2019,9,6,Friday,8,5,NA,NA,bottle,2,oz,vona
369,2019,9,6,Friday,12,30,NA,NA,bottle,3,oz,vona
370,2019,9,6,Friday,15,0,NA,NA,bottle,2.5,oz,vona
371,2019,9,6,Friday,8,48,9,32,nap,,,vona
372,2019,9,6,Friday,11,34,12,10,nap,,,vona
373,2019,9,6,Friday,14,10,14,40,nap,,,vona
374,2019,9,29,Sunday,NA,NA,NA,NA,intro_grass,,,jsmkch
375,2019,9,22,Sunday,NA,NA,NA,NA,skill_crawl_army,,,jsmkch
376,2019,8,19,Monday,NA,NA,NA,NA,trait_mass,7.82,kg,rainbow
377,2019,6,24,Monday,NA,NA,NA,NA,trait_mass,6.69,kg,rainbow
378,2019,5,20,Monday,NA,NA,NA,NA,trait_mass,5.53,kg,rainbow
379,2019,4,30,Tuesday,NA,NA,NA,NA,trait_mass,4.74,kg,rainbow
380,2019,4,26,Friday,NA,NA,NA,NA,trait_mass,4.39,kg,rainbow
381,2019,4,22,Monday,NA,NA,NA,NA,trait_mass,4.11,kg,rainbow
382,2019,4,20,Saturday,NA,NA,NA,NA,trait_mass,4.14,kg,rainbow
383,2019,4,18,Thursday,NA,NA,NA,NA,trait_mass,4.39,kg,rainbow
384,2019,8,19,Monday,NA,NA,NA,NA,trait_length,68.6,cm,rainbow
385,2019,6,24,Monday,NA,NA,NA,NA,trait_length,65.4,cm,rainbow
386,2019,5,20,Monday,NA,NA,NA,NA,trait_length,61.6,cm,rainbow
387,2019,4,30,Tuesday,NA,NA,NA,NA,trait_length,56.5,cm,rainbow
388,2019,4,26,Friday,NA,NA,NA,NA,trait_length,56.1,cm,rainbow
389,2019,4,22,Monday,NA,NA,NA,NA,trait_length,54.6,cm,rainbow
390,2019,8,19,Monday,NA,NA,NA,NA,trait_head_circum,42.5,cm,rainbow
391,2019,6,24,Monday,NA,NA,NA,NA,trait_head_circum,40.6,cm,rainbow
392,2019,5,20,Monday,NA,NA,NA,NA,trait_head_circum,38.7,cm,rainbow
393,2019,4,22,Monday,NA,NA,NA,NA,trait_head_circum,33,cm,rainbow
394,2019,10,14,Monday,NA,NA,NA,NA,skill_situp_partial,,,jsmkch
395,2019,10,1,Tuesday,NA,NA,NA,NA,intro_solidfood_regularly,,,jsmkch
396,2019,9,2,Monday,NA,NA,NA,NA,intro_solidfood,,,jsmkch
397,2019,9,30,Monday,NA,NA,NA,NA,trait_mass,8.56,kg,rainbow
398,2019,9,30,Monday,NA,NA,NA,NA,temperature,102.1,degreesF,rainbow
399,2019,9,25,Wednesday,NA,NA,NA,NA,trait_mass,8.48,kg,rainbow
400,2019,9,25,Wednesday,14,20,NA,NA,temperature,99.3,degreesF,rainbow
401,2019,9,25,Wednesday,15,30,NA,NA,temperature,98.2,degreesF,rainbow
402,2019,9,26,Thursday,18,NA,NA,NA,amoxicilin,5,ml,jsmkch
403,2019,9,27,Friday,6,NA,NA,NA,amoxicilin,5,ml,jsmkch
404,2019,9,27,Friday,18,NA,NA,NA,amoxicilin,5,ml,jsmkch
405,2019,9,28,Saturday,6,NA,NA,NA,amoxicilin,5,ml,jsmkch
406,2019,9,29,Sunday,6,NA,NA,NA,amoxicilin,5,ml,jsmkch
407,2019,9,29,Sunday,18,NA,NA,NA,amoxicilin,5,ml,jsmkch
